If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Agronegócio mantém crescimento com tecnologia - inova.jor,Will blockchain drive the fourth Industrial Revolution?,Este texto do Ranieri é a melhor coisa que você lerá hoje
The Genderbread Person v3 | It's Pronounced Metrosexual,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção","No dia das mães, Avon lança campanha com mãe de jovem gay",Neural networks are inadvertently learning our language's hidden gender biases
The next wave in software is open adoption software,Microsoft's Open Source Love Affair Reaches New Heights,Bot Design Patterns,Microsoft expands its support for Docker containers,Our password hashing has no clothes,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo
Concrete things you can do about your technical debt,O manual do deboísta corporativo,"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com",How Coca-Cola Is Harvesting Innovation Energy From Startups,7 Vital SEO Trends for Google Rankings in 2017 | Digital Current,7 Tips to Create a Company Learning Culture like Google - Without Resources
Agile: Falta competência nos testes,Como Usar o Git e o GitHub,ITA está oferecendo 10 cursos gratuitos a distância - Engenharia é:,Sua comunidade de Teste.,Cookbook,BDD Best Practices and Guidelines - Testing Excellence
Design Kit: Prototyping,Why the customer experience matters,Why image recognition is about to transform business,"Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans",Diane Greene wants to put the enterprise front and center of Google Cloud strategy,Bot Engine
A step-by-step guide to agile growth experiments,An operating model for company-wide agile development,Do you want Crappy Agile?,The sales secrets of high-growth companies,An operating model for company-wide agile development,The economic essentials of digital strategy
What to Inspect When You are Inspecting!,Google is testing a new Material Design layout for desktop searches,The Netflix Tech Blog: Netflix Billing Migration to AWS,Docker 1.12: Now with Built-in Orchestration!,Using behavioral data to improve customer satisfaction,Serverless Architectures
BDD Best Practices and Guidelines - Testing Excellence,Assista a entrevista de Linus Torvalds no TED legendada,Como Usar o Git e o GitHub,Dicas avançadas de ruby (capybara/cucumber),Sua comunidade de Teste.,ITA está oferecendo 10 cursos gratuitos a distância - Engenharia é:
bliki: StranglerApplication,On DRY and the cost of wrongful abstractions,Standing on the Shoulders of Giants - Built to Adapt,Mobify report reveals impact of mobile website speed,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart
6 exemplos de como usar computação cognitiva | EXAME.com,MOBILE TIME - Youse: seguradora digital se diferencia através da interface móvel,The new tech talent you need to succeed in digital,The surprising truth about which countries lead in digital,"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls",Nubank começa a testar seu programa de fidelidade - Empresas Tech
Meet the new Brazilian consumer,The economic essentials of digital strategy,Accenture amplia atuação no Brasil,Meio&Mensagem,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,You won't recognize the new world of digital payments without this report
Aplicações da Inteligência artificial | Endeavor Brasil,Machine Learning and the VP Debate,The AI business landscape,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Google's Cloud Machine Learning service is now in public beta,Client-side ranking to more efficiently show people stories in feed
Mudanças na App Store podem não conquistar desenvolvedores | EXAME.com,Joel on Software,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet","Autofill: What web devs should know, but don't",Up your app's sharing game with DirectShare - Google Developers,Ordering coffee in Italy: the 10 commandments
Scala is the new golden child,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",Google researchers teach AIs to see the important parts of images - and tell you about them,6 reasons why I like KeystoneML,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,Making open source data more available
Dries Distributions remain a growing opportunity for Drupal - Buytaert,Who sponsors Drupal development? | Dries Buytaert,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,14 Cool Drupal 8 modules for site builders | August 2016,Why Is Learning Drupal Hard?,Meet Aquifer: A build system for easier Drupal development
Microservices Architecture on Google App Engine,Why Kubernetes may be a bigger threat to Amazon than Google's cloud - TechRepublic,Angular 2 versus React: There Will Be Blood - Free Code Camp,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,SOA com microserviços - Sensedia,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com
Como a Microsoft está trabalhando com o conceito de IoT - Startupi,11 Internet of Things (IoT) Protocols You Need to Know About,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO,Decentralizing IoT networks through blockchain,"Fresco, sim! - Android Dev BR"
"Hello, TensorFlow!",Google's Cloud Machine Learning service is now in public beta,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Blaise Agüera y Arcas: How computers are learning to be creative,The return of the machinery question,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning"
Who sponsors Drupal development? | Dries Buytaert,Dries Distributions remain a growing opportunity for Drupal - Buytaert,14 Cool Drupal 8 modules for site builders | August 2016,Acquia Engage Awards Finalists Announced,Why Is Learning Drupal Hard?,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove
#FinTech is all about human-centred design - Chris Skinner's blog,Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games,"Say goodbye to traditional customer segmentation "" Banking Technology",XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Visa inaugura Co-Creation Center em São Paulo,Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?
"Meet Bozoma Saint John, the Apple executive who stole the show at WWDC",Netflix emociona com vídeo destacando personagens LGBT,#Sentaquelávemtextão,Google employees are adding 'Lady' to their job titles to fight sexism,Artificial intelligence is changing SEO faster than you think,Staying one step ahead at Pixar: An interview with Ed Catmull
Innovation is in all the wrong places,We are on the verge of a consumer M&A avalanche,7 Questions to Ask Before Your Next Digital Transformation,"Who Owns Digital Transformation? According To A New Survey, It's Not The CIO",Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,The new tech talent you need to succeed in digital
Anti-If: The missing patterns,"Autofill: What web devs should know, but don't",Torus,Mudanças na App Store podem não conquistar desenvolvedores | EXAME.com,Joel on Software,Serverless Data Sync in Web Apps with Bit Torrent
Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,11 Internet of Things (IoT) Protocols You Need to Know About,Uma arquitetura de referência para a Internet das Coisas - Parte 1,Google's Cloud Machine Learning service is now in public beta,Using behavioral data to improve customer satisfaction
Ranking das maiores seguradoras da Europa - 2015 | Sonho Seguro,Porto Seguro compra carteira de seguros Auto da Chubb,Liberty vai adotar telemetria e baratear seguro para bons motoristas,"No dia das mães, Avon lança campanha com mãe de jovem gay","Mesmo sem apoio, Parada LGBT de Campinas arrasta multidão pelas ruas",YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer
Samsung lança dispositivo para deixar carro conectado a partir de chip 4G - Link - Estadão,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",Google's cloud platform is now a force to be reckoned with,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Tasting Dagger 2 on Android,Internet of Things Drives Outcome-Based Business Models
Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Não existe frete grátis!,"Como o e-commerce brasileiro pode, enfim, começar a lucrar",Pão de Açúcar tem rombo de R$ 512 milhões com fraude em e-commerce,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls"
Quando o Scrum irá falhar - Tableless,Accidental discovery could help batteries last years longer,Duolingo's chatbots help you learn a new language,Modelando APIs REST com Swagger,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",Bitbucket Pipelines Beta: continuous delivery inside Bitbucket - Bitbucket
Drupal and ambitious digital experiences,Why Is Learning Drupal Hard?,What to look for in a code review ,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Who sponsors Drupal development? | Dries Buytaert,Cross-channel user experiences with Drupal
"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Conselho da SABMiller aceita proposta de compra da AB InBev,Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Gartner Reprint,Startups apostam em aplicativos que conectam fretes e caminhoneiros,Elasticsearch: CSV exporter for Kibana Discover
Changing change management,Latin America's chronic inefficiency could drive more O2O commerce growth,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,Why the customer experience matters,An operating model for company-wide agile development
Live asynchronously.,Anti-If: The missing patterns,10 Modern Software Over-Engineering Mistakes,The hardest thing in computer science,The Business Case for Progressive Web Apps,The Ten Commandments of Egoless Programming
Alecrim/AlecrimCoreData,Microsoft's Open Source Love Affair Reaches New Heights,Why porting an iOS design to Android will not work,"Incrível, Skype se lembrou que o Linux existe!",Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,Google is testing a new Material Design layout for desktop searches
Algorithms and architecture for job recommendations,6 reasons why I like KeystoneML,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,Jury finds Google's implementation of Java in Android was fair use,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery
Speeding up ReSharper (and Visual Studio),Internet of Things Drives Outcome-Based Business Models,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Tech in Brazil is booming despite the country's political troubles,'We've realized a ten-year strategy goal in one year',What to Inspect When You are Inspecting!
Jenkins 2.0 is here!,Programming by poking: why MIT stopped teaching SICP,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,Labelling automated builds on Docker Hub - Microscaling Systems,Alecrim/AlecrimCoreData,A New Number Format for Computers Could Nuke Approximation Errors for Good
Standing on the Shoulders of Giants - Built to Adapt,Combining Spring Boot and JDBI,"Kotlin in Production - What works, Whats broken",Things you probably didn't know you could do with Chrome's Developer Console,Cubr,bliki: StranglerApplication
What Color is Your Function?,Sam Newman - Backends For Frontends,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,JavaScript Conquered the Web. Now It's Taking Over the Desktop,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,Serverless real-time architecture on AWS: there is a way !
Google lags behind Amazon and Microsoft's cloud in one important area,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,5 Unique Features Of Google Compute Engine That No IaaS Provider Could Match,Spark comparison: AWS vs. GCP,"Amazon open-sources its own deep learning software, DSSTNE"
Effective learning through code workshops | Box Blog,Progressive Web App - first introduced on Google I/O | airberlin,O manual do deboísta corporativo,Building more accessible technology,The Business Case for Progressive Web Apps,"Google acquires Synergyse, an interactive training service for Google Apps"
"Say goodbye to traditional customer segmentation "" Banking Technology",#FinTech is all about human-centred design - Chris Skinner's blog,Accenture amplia atuação no Brasil,Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games,Campus São Paulo: conheça a primeira turma do Programa de Residentes,Measuring email effectiveness in retail banking
Java 9 na prática: Jigsaw,On DRY and the cost of wrongful abstractions,The Java 8 API Design Principles,bliki: StranglerApplication,Exploring Java's Hidden Costs,Why Learning Angular 2 Was Excruciating
Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,Startups apostam em aplicativos que conectam fretes e caminhoneiros,Conselho da SABMiller aceita proposta de compra da AB InBev,O tênue equilíbrio da equipe que desenha produtos digitais,Google segue Microsoft e lança ferramenta analítica grátis,Meet the new Brazilian consumer
O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,"Para neurociência, motivação não é fator principal em mudança de hábitos",Chat Smarter with Allo,The barbell effect of machine learning.,This Super Accurate Portrait Selection Tech Uses Neural Networks,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels"
Google Ranking Factors: The Complete List,"Novo workaholic trabalha, pratica esportes e tem tempo para a família. Conheça",Livro: Retrospectivas Divertidas,Stop saying learning to code is easy.,A minha viagem à Maternidade #tetodomundo,Introduction to Natural Language Processing - University of Michigan | Coursera
Visa inaugura Co-Creation Center em São Paulo,Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games,#FinTech is all about human-centred design - Chris Skinner's blog,UX ou UI?,"Google is discontinuing Google+ Hangouts On Air on September 12, pushes users to YouTube Live",Assessing Salesforce's platform and ecosystem | ZDNet
"Deep Learning for Chatbots, Part 1 - Introduction","Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Big IT Rising,Usability Heuristics for Bots - Chatbots Magazine,"Google acquires Synergyse, an interactive training service for Google Apps"
Por que o Walmart não é Walmart no Brasil,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Não existe frete grátis!,Cia. Hering sincroniza diferentes marcas em um único portal de compras,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,"Como o e-commerce brasileiro pode, enfim, começar a lucrar"
Uma arquitetura de referência para a Internet das Coisas - Parte 1,Google Cloud Goes to the Farm,The Drive to Bank on Digital,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,Aplicação de visão computacional com OpenCV,Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO
How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,Changing change management,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,An operating model for company-wide agile development,An operating model for company-wide agile development,Why the customer experience matters
Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,11 Internet of Things (IoT) Protocols You Need to Know About,1º Congresso Brasileiro de IoT - Embarcados,One Dollar Board: Um projeto brasileiro para revolucionar a educação,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,Uma arquitetura de referência para a Internet das Coisas - Parte 1
Why Programmers Want Private Offices,The hardest thing in computer science,Things you probably didn't know you could do with Chrome's Developer Console,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,My favorite people and resources to learn Android programming from,Micro Profile JavaEE com Wildfly Swarm
Lentes de contato inteligentes serão o wearable definitivo,Peças Translúcidas,How to finish 3D printed PLA objects,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,Front in BH 2016
#Sentaquelávemtextão,Workplace diversity in Brazil: there's still a long way to go,"If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks",O dia em que tive mais medo de estar errada.,As expectativas das mulheres da Geração Y são muitas,"Meet Bozoma Saint John, the Apple executive who stole the show at WWDC"
Governo brasileiro cria manual para contratação de cloud,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Mobile marketing statistics 2016,Can Accenture Take Over Advertising?,Latin America's chronic inefficiency could drive more O2O commerce growth,The rise of APIs
Up your app's sharing game with DirectShare - Google Developers,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Ordering coffee in Italy: the 10 commandments,Lists are the new search,This Super Accurate Portrait Selection Tech Uses Neural Networks,The barbell effect of machine learning.
Google acquires deep search engine Kifi to enhance its Spaces group chat app,Seria Stranger Things uma obra de arte do algoritmo da Netflix?,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Designing smart notifications,Machine Learning and the VP Debate,How Mark Zuckerberg Led Facebook's War to Crush Google Plus
"Google launches Springboard, an AI-powered assistant for its enterprise customers",Artificial intelligence produces realistic sounds that fool humans,Google's Cloud Machine Learning service is now in public beta,"Google acquires Synergyse, an interactive training service for Google Apps",Google researchers teach AIs to see the important parts of images - and tell you about them,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year
"[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud",[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,Design Sprint: onde o design e a velocidade importam,[Article] Poka Yoke: o que é e como implementar | Endeavor Brasil,Inbox by Gmail ganha formatação de texto | Google Discovery,4 Reasons Managers Should Spend More Time on Coaching
Why Learning Angular 2 Was Excruciating,Things you probably didn't know you could do with Chrome's Developer Console,On DRY and the cost of wrongful abstractions,Standing on the Shoulders of Giants - Built to Adapt,"Don't Start Big, Start a Little Snowball","A whole new GitHub Universe: announcing new tools, forums, and features"
Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,Sam Newman - Backends For Frontends,4 Reasons Managers Should Spend More Time on Coaching,Ordering coffee in Italy: the 10 commandments,Up your app's sharing game with DirectShare - Google Developers,This Super Accurate Portrait Selection Tech Uses Neural Networks
Gartner Reprint,Google segue Microsoft e lança ferramenta analítica grátis,Transfer Style But Not Color,Blaise Agüera y Arcas: How computers are learning to be creative,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,The Internet of Things is looking for its VisiCalc
Python Is Not Java (dirtSimple.org),Why Kubernetes may be a bigger threat to Amazon than Google's cloud - TechRepublic,"Bots, Messenger and the future of customer service",Assista a entrevista de Linus Torvalds no TED legendada,Firebase and Google Cloud: better together,Diane Greene wants to put the enterprise front and center of Google Cloud strategy
Android Studio 2.2,The technology behind preview photos,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Advanced Android Espresso,On DRY and the cost of wrongful abstractions,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs
Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi,Alecrim/AlecrimCoreData,Notes on Reactive Programming Part I: The Reactive Landscape,Apple Releases First Preview of Swift 3.0 for Developers,Cracking the Job Interview with TensorFlow,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads"
Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",An overview of web service solutions in Drupal 8,6 reasons why I like KeystoneML,Transfer Style But Not Color,Algorithms and architecture for job recommendations
Blaise Agüera y Arcas: How computers are learning to be creative,Transfer Style But Not Color,"Hello, TensorFlow!",Google's Cloud Machine Learning service is now in public beta,Google researchers teach AIs to see the important parts of images - and tell you about them,The return of the machinery question
Former Google career coach shares a visual trick for figuring out what to do with your life,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor,Cinco competências comportamentais para você ser um bom líder,Qual é o valor da área de T&D na sua empresa?,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins",Digital Health Coaching
How I sped up the initial render of my Polymer app by 86%,Google's Cloud Machine Learning service is now in public beta,"Secret's founder returns with Bold, a Medium for enterprise",Acesse a versão Material Design do YouTube | Google Discovery,Machine Learning and the VP Debate,Text summarization with TensorFlow
Using behavioral data to improve customer satisfaction,The Netflix Tech Blog: Netflix Billing Migration to AWS,What to Inspect When You are Inspecting!,Docker 1.12: Now with Built-in Orchestration!,Google is testing a new Material Design layout for desktop searches,Stop saying learning to code is easy.
Gartner Reprint,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Elasticsearch: CSV exporter for Kibana Discover,Conselho da SABMiller aceita proposta de compra da AB InBev,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online"
Google Cloud Goes to the Farm,Here's proof that Google is getting serious about battling Facebook in a key area,Evernote anuncia integração com Google Drive | Google Discovery,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery",Aplicativos do Android agora podem reagir com o ambiente | Google Discovery,Jury finds Google's implementation of Java in Android was fair use
DBA BRASIL no INTEROPMIX 2016,My favorite people and resources to learn Android programming from,Olli: Artificial Intelligence for the real world of connected commuting,"Don't Start Big, Start a Little Snowball",Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,Internet of Things Drives Outcome-Based Business Models
Jury finds Google's implementation of Java in Android was fair use,Google Cloud Goes to the Farm,Algorithms and architecture for job recommendations,Graph Capabilities with the Elastic Stack,"Bots, Messenger and the future of customer service",5 reasons your employees aren't sharing their knowledge
"Adobe, Acquia, Episerver Lead New Forrester WCM Wave",Rewiring Citi for the digital age,Two Different Sales Motions . . . .,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce","Google is discontinuing Google+ Hangouts On Air on September 12, pushes users to YouTube Live",Meet the new Brazilian consumer
Visa lança desafio para startups de tecnologia - Startupi,The Drive to Bank on Digital,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Nubank e Goldman fecham parceria de R$ 200 milhões,Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games,Abrimos uma conta no Original.
How to finish 3D printed PLA objects,Peças Translúcidas,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Android Developers Summer Reading List,Lentes de contato inteligentes serão o wearable definitivo,19 Tips For Everyday Git Use
Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Abrimos uma conta no Original.,Bradesco vai lançar novo banco digital: o Next.,Bradesco lança serviço inédito para estimular o hábito de poupar,Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games
Top Programming Languages Trends: The Rise of Big Data,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Introducing New Relic Infrastructure,Prisma for Android is now live for all in the Google Play Store,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Berners-Lee quer criar outra Web
"No, Apple isn't the next BlackBerry - it's the next Microsoft",The rise of APIs,Governo brasileiro cria manual para contratação de cloud,Mobile marketing statistics 2016,Top 10 Intranet Trends of 2016,You won't recognize the new world of digital payments without this report
11 Internet of Things (IoT) Protocols You Need to Know About,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,1º Congresso Brasileiro de IoT - Embarcados,Raspberry Pi with cloud vision at Google I/O - Raspberry Pi,Bose's New Speaker Only Costs $150 But You Have to Build It Yourself,One Dollar Board: Um projeto brasileiro para revolucionar a educação
Squads não-suicidas - Hipsters #08,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,"Don't Start Big, Start a Little Snowball",Olli: Artificial Intelligence for the real world of connected commuting,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy"
How to Design a Walkthrough That Users Will Read,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Usability Heuristics for Bots - Chatbots Magazine,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",Accidental discovery could help batteries last years longer,Bitbucket Pipelines Beta: continuous delivery inside Bitbucket - Bitbucket
Do You Suffer From Deployment Anxiety? - DZone DevOps,"DevOps security requires new mindset and tools for visibility, automation",Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,Building Flipkart Lite: A Progressive Web App
Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,Sam Newman - Backends For Frontends,What Color is Your Function?,JavaScript Conquered the Web. Now It's Taking Over the Desktop,Serverless real-time architecture on AWS: there is a way !,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade
Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,Calm down: Google's use of Material Design on iOS is fine,"Autofill: What web devs should know, but don't",Cubr,Chrome OS now has Material Design for the desktop,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog
"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,"Deep Learning for Chatbots, Part 1 - Introduction",WeChat's competitor to Slack has arrived,An overview of web service solutions in Drupal 8,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic"
"GitHub broke my 1,000 day streak - Free Code Camp","DARPA Goes ""Meta"" with Machine Learning for Machine Learning",Programming by poking: why MIT stopped teaching SICP,What is WebAssembly? The Dawn of a New Era - JavaScript Scene,"Google Cloud Platform icons and sample architectural diagrams, for your designing pleasure",Microsoft's Open Source Love Affair Reaches New Heights
The End Of Apple Man,"Apple's new file manager, APFS, is awesome",Why porting an iOS design to Android will not work,Dark Scrum,Alecrim/AlecrimCoreData,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption"
The Netflix Tech Blog: Netflix Billing Migration to AWS,Docker 1.12: Now with Built-in Orchestration!,What to Inspect When You are Inspecting!,Google is testing a new Material Design layout for desktop searches,Using behavioral data to improve customer satisfaction,Stop saying learning to code is easy.
Microservices - When to React Vs. Orchestrate - Capital One DevExchange,The Ultimate Solution to Versioning REST APIs: Content Negotiation,Microservices testing,Communication patterns in a Microservice world,bliki: StranglerApplication,Kotlin no Backend (Parte 2) :: Concrete Solutions
AEM 6.1 Package Manager Metadata Files,Multi-Channel Marketing in 2015 - It's not rocket science.,Git Large File Storage (Git LFS) now in Bitbucket Cloud - Bitbucket,Why Is Learning Drupal Hard?,Piloto de caça criado por inteligência artificial vence humano em combate simulado,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...
Skill swarms - a new way to share expertise and work smarter together - Skillhive,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Will blockchain drive the fourth Industrial Revolution?,The AI business landscape,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Machine Learning Is Redefining The Enterprise In 2016
Do you want Crappy Agile?,An operating model for company-wide agile development,The sales secrets of high-growth companies,A step-by-step guide to agile growth experiments,An operating model for company-wide agile development,Nintendo has doubled in value since Pokémon Go's release
Microsoft expands its support for Docker containers,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Docker 1.12: Now with Built-in Orchestration!,What to Inspect When You are Inspecting!,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption",The next wave in software is open adoption software
"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow","The ""Joel Test"" for Data Science",6 reasons why I like KeystoneML,Scala is the new golden child,AI Is Here to Help You Write Emails People Will Actually Read,Introduction to Natural Language Processing - University of Michigan | Coursera
Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Google lança experimentos com inteligência artificial | Google Discovery,Blaise Agüera y Arcas: How computers are learning to be creative,Google researchers teach AIs to see the important parts of images - and tell you about them,Machine Learning and the VP Debate,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
Iniciando com o Docker: Criando suas próprias imagens - Tableless,Iniciando com o Docker: dicas práticas para começar a usar agora mesmo - Tableless,Modelando APIs REST com Swagger,Machine Learning Is No Longer Just for Experts,Duolingo's chatbots help you learn a new language,Chatbots: Are they better without the chat?
